Postcode,Suburb,Q3 2007/08,Q3 2008/09,% Change
3070,Northcote,398,387,-3%
3163,Carnegie,411,384,-7%
3155,Boronia,434,383,-12%
3181,Prahran,403,381,-5%
3942,Blairgowrie,371,377,2%
3153,Bayswater,426,376,-12%
3183,Balaclava,403,375,-7%
3078,Fairfield,384,374,-2%
3071,Thornbury,381,373,-2%
3068,North Fitzroy,400,371,-7%
3131,Forrest Hill,404,370,-8%
3056,Brunswick ,375,370,-1%
3055,Brunswick West,381,369,-3%
3941,Rye,386,368,-5%
3057,Brunswick East,367,364,-1%
3205,South Melbourne,371,362,-3%
3003,Melb West,350,354,1%
3132,Mitcham,385,352,-9%
3207,Port Melbourne,385,347,-10%
3184,Elwood,354,333,-6%
3182,St Kilda ,348,325,-7%
3002,Melb East ,321,322,0%
3000,Melbourne,287,285,-1%
3004,St Kilda Rd,291,275,-5%
3006,Southbank,272,252,-8%
